dataset,protocol,fold,zone,regime,model,blend_weight_mlp,cal_objective,spike_threshold,mae,rmse,smape,n,local_rmse,local_mae,rmse_improvement_pct,mae_improvement_pct
OPSD,rolling_origin,R1,DK_2,all,Rolling GraphPatch blend,0.7000000000000001,8.656361406435451,15.720000000000002,3.2392942312331026,4.8227416538701915,8.857813977345714,5021,5.137842606762292,3.312573900379855,6.132942890803486,2.212167074622834
OPSD,rolling_origin,R1,DK_2,spike,Local ridge,,,15.720000000000002,5.215228870803018,7.435508119548702,19.671485519798463,1015,7.435508119548702,5.215228870803018,0.0,0.0
OPSD,rolling_origin,R1,DK_2,spike,Rolling GraphPatch blend,0.7000000000000001,8.656361406435451,15.720000000000002,4.893529492214447,6.927579275047895,18.60837807530306,1015,7.435508119548702,5.215228870803018,6.831124871821611,6.168461376442661
OPSD,rolling_origin,R1,DK_2,non_spike,Local ridge,,,15.720000000000002,2.8304983150130276,4.367806374858452,6.430854732744937,4006,4.367806374858452,2.8304983150130276,0.0,0.0
OPSD,rolling_origin,R1,DK_2,non_spike,Rolling GraphPatch blend,0.7000000000000001,8.656361406435451,15.720000000000002,2.8201607340049284,4.122179089516912,6.387314087324068,4006,4.367806374858452,2.8304983150130276,5.623584569943296,0.365221238722117
OPSD,rolling_origin,R2,DK_2,all,Local ridge,,,16.880000000000003,2.8101225225292876,4.417417434793594,10.971353400479767,5021,4.417417434793594,2.8101225225292876,0.0,0.0
OPSD,rolling_origin,R2,DK_2,all,Rolling GraphPatch blend,0.7000000000000001,5.807775285394367,16.880000000000003,2.28338648100316,3.827917074366349,9.853930906536396,5021,4.417417434793594,2.8101225225292876,13.344909534337232,18.74423756626924
OPSD,rolling_origin,R2,DK_2,spike,Local ridge,,,16.880000000000003,5.252560262265898,7.325515369862612,38.00744720164918,597,7.325515369862612,5.252560262265898,0.0,0.0
OPSD,rolling_origin,R2,DK_2,spike,Rolling GraphPatch blend,0.7000000000000001,5.807775285394367,16.880000000000003,4.350700481634383,6.517674819169358,36.126584946405124,597,7.325515369862612,5.252560262265898,11.027764053526312,17.16990830377379
OPSD,rolling_origin,R2,DK_2,non_spike,Local ridge,,,16.880000000000003,2.48052592880805,3.860729668985934,7.322947433188146,4424,3.860729668985934,2.48052592880805,0.0,0.0
