dataset,target_client,model,protocol,adapt_days,source_validation_rmse_normalized,mae,rmse,smape,n
UCI Electricity Load Diagrams 2011-2014,MT_222,SourceMLP-target-ridge-features-7d,target-only ridge on SourceMLP input features,7,0.09172190725803375,235.29396677291695,287.5520962975764,26.376532979985466,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SourceMLP+adapter-28d,source-trained neural encoder with target adapter,28,0.09172190725803375,51.72398245483622,71.03961333695949,6.762838327462665,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SourceMLP-hidden-target-head-28d,frozen source-trained hidden representation with target ridge head,28,0.09172190725803375,53.48260715311273,72.86645899613623,6.850828214688471,2208
UCI Electricity Load Diagrams 2011-2014,MT_222,SourceMLP-target-ridge-features-28d,target-only ridge on SourceMLP input features,28,0.09172190725803375,41.490102940817096,60.36766688967234,5.776886015829261,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SourceMLP-source-head,source-trained one-hidden-layer neural encoder,0,0.09172190725803375,40.312290160552315,53.2241159779202,10.716822375182945,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SourceMLP+adapter-7d,source-trained neural encoder with target adapter,7,0.09172190725803375,40.53531071883126,53.46171047755234,10.722491790565773,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SourceMLP-hidden-target-head-7d,frozen source-trained hidden representation with target ridge head,7,0.09172190725803375,64.94681103381383,90.40931090067707,16.925337390924927,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SourceMLP-target-ridge-features-7d,target-only ridge on SourceMLP input features,7,0.09172190725803375,66.09190456562426,93.82194005178738,18.535058510524152,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SourceMLP+adapter-28d,source-trained neural encoder with target adapter,28,0.09172190725803375,40.831888832378034,53.83634022824904,10.91426618171926,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SourceMLP-hidden-target-head-28d,frozen source-trained hidden representation with target ridge head,28,0.09172190725803375,39.194329997960416,53.370223402742496,9.726437500941485,2208
UCI Electricity Load Diagrams 2011-2014,MT_360,SourceMLP-target-ridge-features-28d,target-only ridge on SourceMLP input features,28,0.09172190725803375,53.404021097668554,72.78724385018444,14.552115414964426,2208
