seed,dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
20260714,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,36.19252693056508,55.21135918322454,3.9082807841177645,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,20.510027829124528,34.50170401123386,5.320652434510823,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,20.420469358301883,33.75938845830749,5.380809780959551,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,32.22622957810052,50.00956105853932,4.307327870465636,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.87825852165439,49.796574269196704,4.276889536413426,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,29.786202774998447,44.23142685612283,7.108695881293377,2208
20260714,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,29.87387111619764,44.17286550909872,7.170793132910405,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,31.874839363111608,54.42577436947403,6.295410057700026,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.532659407230852,53.80835349198162,6.518503790587812,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,56.097681765660035,78.09668317966708,4.998234016598868,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,56.51133585619965,78.25229909383275,5.097159509413563,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,91.0810392555421,133.47328319182108,3.9470541613740044,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,90.2542347327812,132.2463073020112,3.9136456510728217,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,26.18912842778061,44.33756246007796,5.634197474789464,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,26.346381769285056,44.139372117557656,5.844251254685091,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,41.07741298125934,62.771578312291304,3.868966030718221,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,41.12221958365002,62.23823289736795,3.872293075121806,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,72.25754948935561,99.28760371760524,6.25156330752956,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,72.55323837745514,99.74344930394412,6.271188568076035,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,35.88023739052262,55.19244506488917,3.841916737182228,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,36.31175249850969,55.25049358050498,3.9244976802199356,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,20.624672427856517,34.58634329717752,5.30480188105736,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,20.595677885321255,33.812116470682994,5.4118889480665135,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,32.1767609790191,49.94638932938722,4.301641724616818,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.856352528916656,49.71514005900564,4.272624223546507,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,29.64306403408463,44.09484220305472,7.016599264831545,2208
20260715,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,29.790555796548887,44.03141886876656,7.114815187239215,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,32.13209563207215,54.59899233463196,6.37521139941519,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.17864941331661,53.72359320056848,6.469936583055458,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,56.221525001141266,78.1696811976394,5.003621133327886,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,56.51778413853171,78.23459413079853,5.08791098671078,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,91.62618775022038,133.82140956357358,3.970604180358871,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,90.39467303721985,132.2799762552879,3.9193037520347853,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,26.440475811105156,44.6962031738072,5.728055484946412,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,26.23381478774579,44.299664465136324,5.824797409753306,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,41.21599672271782,62.93763702011563,3.8786384659615663,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,41.09683665170895,62.25148319927514,3.8671596406454034,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,72.3486456315271,99.42035004442147,6.261469223158319,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_043,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,72.59319847308755,99.89368142975329,6.276449408651713,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,36.03304375346693,55.430933498383794,3.863415471819038,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_314,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,36.224469741197225,55.32500839130141,3.9210517556951228,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,20.750871472728274,34.741966067984215,5.375339663837653,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_104,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,20.441776257016414,33.73944444081953,5.401529052996934,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,32.454840863827414,50.16754100581392,4.335520948570556,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_222,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.87234874507462,49.67811234230819,4.274679568891644,2208
20260716,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,29.861352073345543,44.28047830823725,7.111834272481668,2208
