dataset,zone,date,capacity_mwh,method,revenue,hindsight_revenue,regret,battery_revenue,flex_value,imbalance_penalty,negative_revenue
OPSD,DK_1,2019-03-14,1.0,Rolling-28d mean FTO,11.293664524637308,17.209400000000002,5.915735475362695,7.124695652173912,8.003999999999998,3.8350311275366034,0
OPSD,DK_1,2019-03-14,1.0,Robust quantile FTO,9.827008985556267,17.209400000000002,7.382391014443735,6.641695652173922,7.689000000000003,4.503686666617659,0
OPSD,DK_1,2019-03-14,1.0,Hindsight optimum,17.209400000000002,17.209400000000002,0.0,8.441900000000004,8.7675,0.0,0
OPSD,DK_1,2019-03-15,1.0,Prev-day FTO,-5.850732952255843,56.900756521739126,62.751489473994965,-3.205034782608692,2.3430000000000004,4.988698169647151,1
OPSD,DK_1,2019-03-15,1.0,Rolling-28d mean FTO,10.863061709947706,56.900756521739126,46.03769481179142,7.14350869565218,7.9425,4.222946985704473,0
OPSD,DK_1,2019-03-15,1.0,Robust quantile FTO,5.250522780135358,56.900756521739126,51.65023374160377,4.128208695652177,5.975999999999998,4.8536859155168175,0
OPSD,DK_1,2019-03-15,1.0,Hindsight optimum,56.900756521739126,56.900756521739126,0.0,33.99425652173913,22.906499999999998,0.0,0
OPSD,DK_1,2019-03-16,1.0,Prev-day FTO,31.486717975371757,64.14825217391305,32.66153419854129,23.12765652173913,15.4815,7.1224385463673725,0
OPSD,DK_1,2019-03-16,1.0,Rolling-28d mean FTO,46.11548953993343,64.14825217391305,18.032762633979623,33.446052173913046,21.624,8.954562633979611,0
OPSD,DK_1,2019-03-16,1.0,Robust quantile FTO,43.70562427400059,64.14825217391305,20.44262789991246,32.261552173913046,20.851499999999998,9.407427899912458,0
OPSD,DK_1,2019-03-16,1.0,Hindsight optimum,64.14825217391305,64.14825217391305,0.0,38.94075217391305,25.2075,0.0,0
OPSD,DK_1,2019-03-17,1.0,Prev-day FTO,-0.35755742672601265,67.21040869565218,67.5679661223782,6.074669565217392,3.729,10.161226991943405,1
OPSD,DK_1,2019-03-17,1.0,Rolling-28d mean FTO,12.227698409790978,67.21040869565218,54.9827102858612,18.06686956521739,11.549999999999999,17.389171155426414,0
OPSD,DK_1,2019-03-17,1.0,Robust quantile FTO,24.66481116345132,67.21040869565218,42.54559753220086,25.668369565217393,16.5075,17.51105840176608,0
OPSD,DK_1,2019-03-17,1.0,Hindsight optimum,67.21040869565218,67.21040869565218,0.0,41.492908695652176,25.717499999999998,0.0,0
OPSD,DK_1,2019-03-18,1.0,Prev-day FTO,4.703142764020253,48.84920000000001,44.146057235979754,8.678208695652177,8.862,12.837065931631923,0
OPSD,DK_1,2019-03-18,1.0,Rolling-28d mean FTO,26.572393327414684,48.84920000000001,22.276806672585327,18.757021739130444,14.428500000000003,6.613128411715767,0
OPSD,DK_1,2019-03-18,1.0,Robust quantile FTO,27.44320688775732,48.84920000000001,21.40599311224269,18.784621739130444,14.446500000000004,5.787914851373124,0
OPSD,DK_1,2019-03-18,1.0,Hindsight optimum,48.84920000000001,48.84920000000001,0.0,28.782200000000003,20.067000000000004,0.0,0
OPSD,DK_1,2019-03-19,1.0,Prev-day FTO,4.9688791650393505,20.082330434782616,15.113451269743265,8.291660869565227,9.567,12.889781704525877,0
OPSD,DK_1,2019-03-19,1.0,Rolling-28d mean FTO,10.837400527465963,20.082330434782616,9.244929907316653,8.56766086956523,9.747000000000002,7.477260342099267,0
OPSD,DK_1,2019-03-19,1.0,Robust quantile FTO,11.551724163570002,20.082330434782616,8.530606271212614,8.333730434782609,9.536999999999997,6.319006271212606,0
OPSD,DK_1,2019-03-19,1.0,Hindsight optimum,20.082330434782616,20.082330434782616,0.0,9.672330434782616,10.41,0.0,0
OPSD,DK_1,2019-03-20,1.0,Prev-day FTO,2.3866040824116554,11.51512173913045,9.128517656718795,3.851321739130441,6.354000000000002,7.818717656718788,0
OPSD,DK_1,2019-03-20,1.0,Rolling-28d mean FTO,4.737377099348054,11.51512173913045,6.777744639782396,3.7412782608695707,6.261000000000001,5.264901161521518,0
OPSD,DK_1,2019-03-20,1.0,Robust quantile FTO,4.787016170277025,11.51512173913045,6.728105568853425,3.3660217391304386,6.0375,4.616505568853413,0
OPSD,DK_1,2019-03-20,1.0,Hindsight optimum,11.51512173913045,11.51512173913045,0.0,4.670621739130446,6.844500000000004,0.0,0
OPSD,DK_1,2019-03-21,1.0,Prev-day FTO,5.24359647639349,11.458895652173926,6.2152991757804354,3.288669565217397,5.919000000000001,3.964073088823907,0
OPSD,DK_1,2019-03-21,1.0,Rolling-28d mean FTO,6.429153584505453,11.458895652173926,5.029742067668472,4.139747826086968,6.357000000000004,4.067594241581517,0
OPSD,DK_1,2019-03-21,1.0,Robust quantile FTO,2.383348092806278,11.458895652173926,9.075547559367648,1.634886956521747,4.884,4.135538863715469,0
OPSD,DK_1,2019-03-21,1.0,Hindsight optimum,11.458895652173926,11.458895652173926,0.0,4.725395652173923,6.733500000000002,0.0,0
